size,time,l1,l2,flops
600,0.329,12037079,55052741,54799801
600,0.339,12322793,55675028,54798033
1000,0.896,36683781,159812696,252235483
1000,0.898,37283562,160964377,252229629
1400,2.015,82986360,319246759,690172181
1400,2.028,84979303,322732024,690119167
1800,3.667,159196274,519291626,1464121842
1800,3.562,159113335,520818638,1463944151
2200,6.395,270210917,807031765,2670117551
2200,6.163,269889763,789433040,2669543329
2600,9.805,416783560,1140559379,4404349715
2600,9.876,416008246,1135680892,4404012387
3000,14.679,609060568,1582288307,6764252182
3000,14.716,609762202,1589780119,6764671957
