size,block,time
600,128,.729
600,128,.722
600,256,.720
600,256,.718
600,512,.770
600,512,.770
1000,128,3.346
1000,128,3.339
1000,256,3.300
1000,256,3.301
1000,512,3.567
1000,512,3.565
1400,128,9.173
1400,128,9.132
1400,256,9.056
1400,256,9.051
1400,512,9.613
1400,512,9.622
1800,128,19.734
1800,128,19.533
1800,256,19.381
1800,256,19.389
1800,512,20.732
1800,512,20.715
2200,128,35.835
2200,128,35.797
2200,256,35.520
2200,256,35.521
2200,512,38.322
2200,512,38.484
2600,128,59.165
2600,128,59.204
2600,256,58.685
2600,256,58.656
2600,512,64.655
2600,512,64.537
3000,128,90.070
3000,128,90.055
3000,256,89.612
3000,256,89.495
3000,512,96.342
3000,512,96.470
