size,block_size,time,l1,l2
600,20,0.106835,3466107,4287500
600,20,0.106759,3329122,4285875
600,25,0.104929,3505972,4017878
600,25,0.104697,3505409,4000290
600,40,0.123833,2986919,2551811
600,40,0.123274,2986835,2541409
600,50,0.101392,5624848,3668768
600,50,0.101499,5622605,3616098
600,100,0.110769,33365942,14194218
600,100,0.110236,33370396,13689042
600,200,0.109922,30241848,80181378
600,200,0.109827,30242975,80512697
1000,20,0.478228,14004500,24661793
1000,20,0.490296,13815901,24514810
1000,25,0.493184,15044035,20991816
1000,25,0.496832,15052287,20864891
1000,40,0.582709,13969829,11874245
1000,40,0.579364,13964655,11850356
1000,50,0.459029,68287767,16529531
1000,50,0.459193,68283438,16740389
1000,100,0.493396,152968934,57899916
1000,100,0.4944,152977904,59386366
1000,200,0.496588,139429783,385077035
1000,200,0.500401,139422719,381620779
1400,20,1.30505,40078052,73792774
1400,20,1.30585,38796531,73270754
1400,25,1.28774,42034340,60332085
1400,25,1.30517,42041544,60254797
1400,40,1.52167,36175897,31455184
1400,40,1.51258,36164395,31539479
1400,50,1.23591,62678161,43652583
1400,50,1.24285,62665478,43817111
1400,100,1.33697,418746924,152727832
1400,100,1.34021,418716855,159349147
1400,200,1.34049,382117960,1050813448
1400,200,1.34464,382119597,1047231286
1800,20,2.7587,106694731,169611237
1800,20,2.76235,101086928,167837067
1800,25,2.72623,97844686,133947561
1800,25,2.72373,97849770,134053443
1800,40,3.19195,94408227,73920280
1800,40,3.19503,94399215,74273661
1800,50,2.62167,428802108,101962362
1800,50,2.62214,429065159,101856821
1800,100,2.82767,889543228,378139269
1800,100,2.82829,889542488,387446323
1800,200,2.84042,811740772,2213489383
1800,200,2.83971,811760523,2224220158
2200,20,5.03984,153625063,292705095
2200,20,5.04008,153619395,292707138
2200,25,4.96135,163327626,234408052
2200,25,4.96081,163326684,234382804
2200,40,5.84111,150537377,123952353
2200,40,5.83352,150541408,124461637
2200,50,4.78099,323268162,180407331
2200,50,4.76737,323269060,179859653
2200,100,5.1482,1624844452,641536088
2200,100,5.13974,1624778964,657376436
2200,200,5.16413,1490960453,4087934456
2200,200,5.16074,1490986004,4070801154
2600,20,8.31051,263625023,491672946
2600,20,8.31915,263642313,492402812
2600,25,8.16952,279931047,389985814
2600,25,8.17713,279933333,389723816
2600,40,9.61846,259883794,206441928
2600,40,9.6227,259859263,206547200
2600,50,7.8511,473459993,290290872
2600,50,7.93794,473393327,291332017
2600,100,8.51555,2714554275,1076585880
2600,100,8.48443,2714561888,1074604442
2600,200,8.52365,2462082540,6739516638
2600,200,8.51884,2462067153,6720064217
3000,20,12.7621,443089192,764839179
3000,20,12.757,443108275,764851893
3000,25,12.5583,446911575,603176798
3000,25,12.5862,446922353,603991351
3000,40,14.7819,378655443,311236514
3000,40,14.7847,378644202,310792274
3000,50,12.07,533012227,403278203
3000,50,12.072,532981981,402657057
3000,100,13.0229,4126204187,1612174043
3000,100,13.0176,4126230840,1595997885
3000,200,13.0659,3763536638,10308576735
3000,200,13.0693,3763507991,10307353642
