size,time,l1,l2
600,0.119578,622907,139836910302512
600,0.111625,607256,139836910302512
1000,0.593166,3011459,139836910302512
1000,0.587326,2738622,139836910302512
1400,1.61679,8573472,139836910302512
1400,1.64228,8521427,139836910302512
1800,3.40888,20018467,139836910302512
1800,3.39252,19021783,139836910302512
2200,6.23536,23375920,139836910302512
2200,6.2083,23389388,139836910302512
2600,10.2499,36650348,139836910302512
2600,10.7148,36340772,139836910302512
3000,15.8434,54827201,139836910302512
3000,15.6558,54955871,139836910302512
